,State,city,Zipcode,latitude,longitude,counts
8859,CA,San Bernardino,92408,34.074378,-117.298,57
8916,CA,San Diego,92111,32.833179,-117.147384,654
9570,CA,Sunnyvale,94087,37.359362,-122.022783,120
9690,CA,San Jose,95136,37.275144,-121.877656,538
10228,CA,San Juan Capistrano,92675,33.47443,-117.676142,4
10232,CA,San Leandro,94577,37.712609,-122.162746,26
10258,CA,Santa Clara,95051,37.323569,-121.988027,329
10587,CA,Santa Rosa,95404,38.425537,-122.714089,68
10655,CA,Seaside,93955,36.611189,-121.849899,14
10669,CA,Simi Valley,93065,34.277324,-118.778957,18
10687,CA,Stockton,95212,38.022022,-121.275339,26
10713,CA,Tracy,95304,37.75990555387505,-121.4632051865082,17
10730,CA,Tustin,92782,33.72484,-117.799302,22
10752,CA,Valencia,91355,34.420546,-118.557774,10
10762,CA,Victorville,92394,34.517883,-117.3219,22
10784,CA,Visalia,93292,36.32327,-119.27569,16
10800,CA,West Covina,91791,34.074227,-117.890899,18
10818,OR,Ashland,97520,42.187149,-122.689496,18
10836,OR,Clackamas,97015,45.43039546782978,-122.5722026653595,7
10843,OR,Sherwood,97140,45.355354,-122.840126,10
10853,NV,Las Vegas,89146,36.145081,-115.227058,211
11064,CA,Mountain View,94041,37.390383,-122.0827,108
11172,WA,SeaTac,98188,47.434021,-122.273183,12
11184,WA,Sammamish,98075,47.601657,-122.036938,8
11192,CO,Fort Collins,80524,40.593417,-105.0684,65
11257,CO,Boulder,80301,40.024578,-105.232194,170
11427,WA,Kent,98032,47.424222,-122.256619,12
11439,CA,Malibu,90265,34.035802,-118.686393,24
11463,CO,Denver,80202,39.742113,-104.991416,267
11730,CA,Aliso Viejo,92656,33.577103,-117.723844,21
11751,WA,Yakima,98901,46.590246,-120.500687,18
11769,WA,Monroe,98272,47.868914,-121.987449,3
11772,WA,Snohomish,98296,47.864699,-122.138672,7
11779,CA,Healdsburg,95448,38.6085938,-122.8688,35
11814,CA,Dublin,94568,37.702909,-121.91835,35
11849,WA,Rockport,98283,48.673466,-121.261467,2
11851,CA,Sutter Creek,95685,38.379983,-120.807672,4
11855,WA,Oak Harbor,98277,48.288066,-122.648224,5
11860,CA,Westlake Village,91362,34.148413,-118.798832,26
11886,CO,Aurora,80012,39.702351,-104.865298,58
11944,CO,Centennial,80112,39.594525,-104.872435,16
11960,CO,Colorado Springs,80916,38.81233,-104.756795,45
12005,CO,Durango,81303,37.269708,-107.907728,24
12029,CO,Greeley,80634,40.39443,-104.736034,9
12038,CO,Lakewood,80401,39.732606,-105.163711,20
12058,CO,Littleton,80123,39.626641,-105.090506,19
12077,CO,Longmont,80501,40.151989,-105.108644,41
12118,CO,Pueblo,81008,38.312144,-104.640891,19
12137,CA,Burlingame,94010,37.57792,-122.341931,9
12146,CA,Campbell,95008,37.287593,-121.946908,41
12187,CA,Indian Wells,92210,33.72323,-116.324409,8
12195,ID,Idaho Falls,83401,43.506418,-112.000182,17
12212,NM,Santa Fe,87507,35.61229,-106.0323,54
12266,CA,Rancho Cucamonga,91730,34.120214,-117.593952,30
12296,CA,Capitola,95010,36.981884,-121.962228,4
12300,CA,Yosemite National Park,95389,37.74656,-119.584,2
12302,UT,Murray,84107,40.672936,-111.889147,26
12328,UT,North Salt Lake,84054,40.858562,-111.902958,3
12331,CA,Santa Maria,93454,34.931796,-120.420639,21
12352,CA,Cotati,94931,38.32398,-122.709121,7
12359,CA,Palm Desert,92260,33.75562,-116.361,36
12395,CA,Torrance,90503,33.842487,-118.354006,81
12476,CA,Moffett Field,94035,37.416283,-122.059908,2
12478,CA,Monterey Park,91754,34.036123,-118.148995,6
