State,city,Zipcode,latitude,longitude
WA,Seattle,98103,47.699613,-122.341922
WA,Seattle,98134,47.571399,-122.330911
WA,Seattle,98134,47.57952,-122.321401
WA,Seattle,98106,47.565149,-122.353024
WA,Tacoma,98409,47.21978,-122.48576
OR,Beaverton,97005,45.491783,-122.81107
OR,Corvallis,97330,44.572608,-123.258425
OR,Eugene,97401,44.05902085,-123.0813975
OR,Gladstone,97027,45.378967,-122.603899
OR,McMinnville,97128,45.227394,-123.180863
OR,Medford,97504,42.379969,-122.858192
OR,Portland,97230,45.531759,-122.537403
OR,Salem,97302,44.921582,-123.006236
OR,Wilsonville,97070,45.326814,-122.770853
WA,Bremerton,98312,47.562162,-122.684286
WA,Burien,98148,47.458466,-122.333257
CA,Aliso Viejo,92656,33.577103,-117.723844
WA,Vancouver,98662,45.648094,-122.597954
WA,Yakima,98901,46.590246,-120.500687
WA,Yakima,98901,46.590246,-120.500687
WA,Monroe,98272,47.868914,-121.987449
WA,Snohomish,98296,47.864699,-122.138672
CA,Healdsburg,95448,38.6085938,-122.8688
CA,Dublin,94568,37.702909,-121.91835
WA,Rockport,98283,48.673466,-121.261467
CA,Sutter Creek,95685,38.379983,-120.807672
WA,Oak Harbor,98277,48.288066,-122.648224
CA,San Francisco,94118,37.768766,-122.468341
CA,San Francisco,94108,37.789884,-122.406808
CA,San Jose,95112,37.36217973,-121.8995386
CA,Westlake Village,91362,34.148413,-118.798832
CO,Aurora,80012,39.702351,-104.865298
CO,Aurora,80012,39.702351,-104.865298
CO,Boulder,80301,40.025019,-105.258915
CO,Centennial,80112,39.594525,-104.872435
CO,Centennial,80112,39.594525,-104.872435
CO,Colorado Springs,80916,38.81233,-104.756795
CO,Colorado Springs,80916,38.81233,-104.756795
CO,Colorado Springs,80918,38.931011,-104.811075
CO,Colorado Springs,80918,38.931011,-104.811075
CO,Durango,81303,37.269708,-107.907728
CO,Durango,81303,37.269708,-107.907728
CO,Greeley,80634,40.39443,-104.736034
CO,Lakewood,80401,39.732606,-105.163711
CO,Lakewood,80401,39.732606,-105.163711
CO,Lakewood,80228,39.7171136,-105.1288004
CO,Littleton,80123,39.626641,-105.090506
CO,Littleton,80123,39.626641,-105.090506
CO,Longmont,80501,40.151989,-105.108644
CO,Longmont,80501,40.151989,-105.108644
CO,Pueblo,81008,38.312144,-104.640891
CO,Pueblo,81008,38.312144,-104.640891
CA,Burlingame,94010,37.57792,-122.341931
CA,Burlingame,94010,37.57792,-122.341931
CA,Burlingame,94010,37.6023496,-122.3706759
CA,Campbell,95008,37.287593,-121.946908
CA,Dublin,94568,37.702828,-121.911087
CA,Dublin,94568,37.702828,-121.911087
CA,Escondido,92029,33.11587,-117.11955
CA,Fairfield,94533,38.244614,-122.079181
CA,Fairfield,94533,38.244614,-122.079181
CA,Indian Wells,92210,33.72323,-116.324409
CA,Long Beach,90808,33.8234522,-118.1488717
CA,Los Angeles,90036,34.063383,-118.35808
CA,Ontario,91761,34.049006,-117.547161
CA,Ontario,91761,34.049006,-117.547161
ID,Boise,83704,43.619031,-116.29091
ID,Boise,83704,43.619031,-116.29091
ID,Idaho Falls,83401,43.506418,-112.000182
ID,Idaho Falls,83401,43.506418,-112.000182
NM,Santa Fe,87507,35.61229,-106.0323
CA,Rancho Cucamonga,91730,34.120214,-117.593952
CA,Rancho Cucamonga,91730,34.10303,-117.576
CA,Rancho Cucamonga,91730,34.100456,-117.54918
CA,Rancho Cucamonga,91730,34.11787,-117.611
CA,Rancho Cucamonga,91737,34.154033,-117.607446
OR,Portland,97219,45.464636,-122.698892
UT,Salt Lake City,84114,40.774299,-111.947378
UT,Salt Lake City,84101,40.749027,-111.911084
CA,Capitola,95010,36.981884,-121.962228
CA,Yosemite National Park,95389,37.74656,-119.584
UT,Murray,84107,40.672936,-111.889147
UT,Murray,84107,40.672936,-111.889147
UT,North Salt Lake,84054,40.858562,-111.902958
UT,North Salt Lake,84054,40.858562,-111.902958
CA,Antioch,94509,38.007799,-121.832042
CA,Bakersfield,93313,35.310723,-119.035324
CA,Buena Park,90621,33.865497,-117.995215
CA,Carson,90745,33.824968,-118.245675
CA,Cathedral City,92234,33.78414,-116.471
CA,Cerritos,90703,33.861544,-118.100471
CA,Chico,95926,39.756332,-121.843715
CA,City of Industry,91748,33.997621,-117.928216
CA,Clovis,93612,36.836818,-119.717629
CA,Colma,94014,37.671267,-122.463541
CA,Concord,94520,37.980192,-122.050128
CA,Corona,92882,33.88309,-117.615292
CA,Costa Mesa,92626,33.675397,-117.918684
CA,Davis,95618,38.55252,-121.691555
CA,Downey,90241,33.9473,-118.151166
CA,Duarte,91010,34.136553,-117.975944
CA,El Cajon,92020,32.795896,-116.976156
CA,Escondido,92029,33.116492,-117.106837
CA,Eureka,95501,40.800562,-124.164405
CA,Tracy,95304,37.75990555,-121.4632052
WA,Vancouver,98684,45.63017,-122.504
CA,San Jose,95118,37.24761,-121.8745
CA,Tustin,92782,33.72484,-117.799302
CA,Vacaville,95687,38.381441,-121.941218
CA,Vallejo,94590,38.118088,-122.255493
CA,Sherman Oaks,91401,34.168824,-118.449059
CA,Victorville,92394,34.517883,-117.3219
CA,Visalia,93292,36.32327,-119.27569
CA,West Covina,91791,34.074227,-117.890899
CA,Los Angeles,90068,34.133446,-118.356601
CA,Merced,95340,37.305891,-120.502428
CA,Mission Hills,91345,34.269809,-118.466606
CA,Modesto,95356,37.705119,-120.99471
CA,Montclair,91763,34.082404,-117.694876
CA,Los Angeles,90015,34.035168,-118.273229
CA,Napa,94559,38.292706,-122.277767
CA,San Jose,95136,37.275144,-121.877656
CA,Santa Clara,95051,37.323569,-121.988027
CA,Santa Maria,93454,34.931796,-120.420639
CA,Simi Valley,93065,34.277324,-118.778957
CA,National City,91950,32.659001,-117.100836
CA,Oxnard,93036,34.22771,-119.150217
CA,Palmdale,93551,34.591173,-118.138184
CA,Poway,92064,32.956772,-117.025943
CA,Redding,96002,40.571632,-122.36654
CA,Redlands,92374,34.065387,-117.212007
CA,Redwood City,94063,37.495963,-122.227322
CA,Richmond,94806,37.985253,-122.32124
CA,Riverside,92507,33.941878,-117.297603
CA,Sacramento,95821,38.631393,-121.396604
CA,San Bernardino,92408,34.074378,-117.298
CA,San Diego,92111,32.833179,-117.147384
CA,San Diego,92109,32.802475,-117.215269
CA,Riverside,92504,33.925469,-117.419673
CA,Roseville,95661,38.752198,-121.256452
CA,Cotati,94931,38.32398,-122.709121
CA,Fontana,92336,34.135345,-117.445732
CA,Fresno,93710,36.818622,-119.789796
CA,Gardena,90247,33.889201,-118.307028
CA,Glendale,91204,34.137054,-118.25536
CA,Hemet,92545,33.741163,-117.031718
CA,Huntington Beach,92647,33.71069,-117.989861
AZ,Avondale,85323,33.459826,-112.284168
AZ,Chandler,85286,33.286316,-111.791107
AZ,Lake Havasu City,86404,34.54217,-114.35287
AZ,Mesa,85206,33.385361,-111.695062
AZ,Mesa,85201,33.434313,-111.872266
AZ,Peoria,85382,33.636921,-112.253682
AZ,Surprise,85388,33.605183,-112.420442
AZ,Phoenix,85023,33.639038,-112.108088
AZ,Scottsdale,85260,33.635224,-111.915739
AZ,Tempe,85284,33.346812,-111.967793
AZ,Phoenix,85014,33.509862,-112.054162
AZ,Tucson,85711,32.207374,-110.881798
CA,Costa Mesa,92626,33.6915,-117.9095
CA,Costa Mesa,92626,33.69276,-117.9183
CA,Los Angeles,90007,34.02828,-118.2778
CA,Los Angeles,90045,33.9492,-118.385
CA,Palm Desert,92260,33.75562,-116.361
CA,San Luis Obispo,93401,35.252287,-120.6862
CO,Fort Collins,80525,40.505604,-105.078041
WA,Seattle,98108,47.54527283,-122.3087234
CA,Rosemead,91770,34.0461678,-118.0818714
CA,Rosemead,91770,34.05334473,-118.0841599
CA,Santa Monica,90403,34.029456,-118.485814
CA,Torrance,90503,33.842487,-118.354006
CA,Moffett Field,94035,37.416283,-122.059908
CA,Monterey Park,91754,34.036123,-118.148995
CA,Morro Bay,93442,35.36725,-120.847
CA,Brea,92821,33.91743,-117.889
CA,San Luis Obispo,93401,35.28059,-120.657
CA,Vacaville,95687,38.34962,-121.987
NM,Santa Fe,87501,35.68451,-105.948
CA,Fullerton,92832,33.869725,-117.938109
CA,Rancho Cucamonga,91730,34.09177,-117.559
WA,Wenatchee,98801,47.44851,-120.331437
CA,Fresno,93726,36.801411,-119.7881
CA,Lodi,95240,38.13437,-121.2884
CA,Monrovia,91016,34.13867,-117.9869
CA,Newbury Park,91320,34.153742,-118.964733
CA,Newbury Park,91320,34.152947,-118.965356
CA,Ontario,91761,34.0616,-117.5935
CA,Pomona,91768,34.049341,-117.82341
CA,Sacramento,95817,38.553545,-121.4561
CA,Victorville,92392,34.511036,-117.325348
WA,Seattle,98104,47.598663,-122.331009
CA,Colfax,95713,39.084259,-120.956
CA,Davis,95616,38.546699,-121.7461
CA,Davis,95618,38.54246,-121.7279
CA,Malibu,90265,34.037227,-118.689023
CA,Salinas,93901,36.673856,-121.665804
CA,San Jose,95131,37.38514,-121.9288
CA,Vallejo,94590,38.1022,-122.261
CA,West Hollywood,90069,34.08983,-118.393
UT,Logan,84321,41.737713,-111.834442
UT,Logan,84321,41.737713,-111.834442
UT,Riverdale,84405,41.179728,-111.994029
UT,Riverdale,84405,41.179728,-111.994029
UT,St. George,84770,37.077643,-113.588156
UT,St. George,84770,37.077643,-113.588156
UT,Salt Lake City,84101,40.75259,-111.893299
UT,Salt Lake City,84101,40.75259,-111.893299
WA,Bellevue,98004,47.63811493,-122.1882
MT,Missoula,59801,46.845621,-114.023339
NM,Santa Fe,87505,35.659801,-105.966558
NM,Santa Fe,87505,35.659801,-105.966558
NV,Las Vegas,89146,36.145149,-115.22173
NM,Albuquerque,87110,35.08766,-106.562003
NM,Albuquerque,87110,35.08766,-106.562003
NM,Albuquerque,87114,35.193238,-106.655819
NM,Albuquerque,87114,35.193238,-106.655819
NV,Las Vegas,89146,36.145149,-115.22173
NV,Reno,89512,39.539878,-119.802181
CA,Long Beach,90806,33.806192,-118.158913
CA,Mountain View,94043,37.39120483,-122.0531
CA,Sunnyvale,94087,37.360056,-122.024212
CO,Grand Junction,81501,39.074359,-108.572597
CO,Grand Junction,81501,39.074359,-108.572597
CA,San Francisco,94103,37.782079,-122.404764
CO,Denver,80204,39.735935,-104.988403
CO,Denver,80204,39.743919,-104.998075
NM,Rio Rancho,87124,35.218873,-106.66282
CA,Pasadena,91101,34.144224,-118.142129
CA,Pasadena,91101,34.148186,-118.141776
CA,Santa Barbara,93105,34.441146,-119.748892
CO,Aurora,80011,39.72887,-104.779764
UT,Salt Lake City,84115,40.714413,-111.900552
WA,Mount Vernon,98273,48.437569,-122.325494
CA,Chatsworth,91311,34.253049,-118.598675
OR,Portland,97205,45.518289,-122.680882
OR,Tigard,97224,45.39645,-122.75364
CA,Oakland,94621,37.7153,-122.2145
CA,Salinas,93908,36.594595,-121.624692
CA,Santa Barbara,93109,34.40641,-119.697
CA,Temecula,92590,33.49353,-117.146
CA,Palo Alto,94304,37.782284,-122.418185
CA,San Francisco,94109,37.788127,-122.422143
CA,San Francisco,94109,37.788127,-122.422143
