Zipcode,Number of Stations,Population,Household Income,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,latitude,longitude
92672,11,376398,962005,173096,12.2650039,152680,10.81839439,367.7823016,-1293.839902
92673,8,246144,1208056,96080,9.310979746,90400,8.760538812,267.656114,-940.904615
92675,4,155212,377716,64624,4.912504751,57560,4.375522615,133.9419863,-470.6743094
92677,9,596826,974268,268461,10.50727984,244845,9.58297456,302.047266,-1059.115531
92683,17,1548785,1064489,678402,24.54954042,596190,21.57450966,573.7912859,-2005.97373
92688,1,44832,116064,23005,1.439251752,21410,1.339464464,33.642182,-117.59864
92691,4,203356,470068,96780,5.676246334,89080,5.224633431,134.277429,-470.693125
92692,4,187200,471312,82652,4.744388956,76980,4.418804891,134.446619,-470.585887
92694,8,236560,1328120,96256,10.63837312,87600,9.681697613,268.294032,-940.981455
92701,14,770812,733208,347018,26.27133015,275100,20.82670906,472.490344,-1650.16762
92703,5,345560,307920,153915,11.33812155,124025,9.136279926,168.730468,-589.426297
92704,5,441605,346360,208975,10.43935458,176400,8.812069138,168.545394,-589.521691
92705,15,709470,1631790,327630,22.23028905,289950,19.67363279,506.177509,-1767.848439
92706,4,142992,280804,65296,6.9797969,54380,5.81293426,135.052479,-471.496756
92707,13,790803,1007565,392886,28.46793711,340795,24.69350047,438.05335,-1532.282135
92708,10,569530,923010,254650,13.5769887,230500,12.28940073,337.117175,-1179.485463
92780,14,832986,1055292,408786,22.04054564,355250,19.15404108,472.1409939,-1649.515934
92782,8,184672,947504,95208,11.93082707,88480,11.0877193,269.738462,-942.424182
92801,6,399564,378276,187848,10.48200435,156510,8.733329613,203.0449821,-707.7256514
92802,137,5756192,8243290,2730410,236.870825,2264610,196.4613516,4631.625752,-16155.04631
92804,3,269745,197358,123447,4.946982448,106770,4.278672758,101.452362,-353.942682
92805,32,2383296,2120096,1138112,58.03436847,950880,48.48707358,1082.126867,-3772.983601
92806,16,631072,1103568,313632,25.41794311,271440,21.99854121,541.1503137,-1885.989019
92807,4,142748,453292,68088,5.474632146,64180,5.160408459,135.4427631,-471.2101527
92808,5,102415,641890,51920,6.983187626,48075,6.466039005,169.33281,-588.733911
92821,9,339408,823779,164313,11.95003636,147240,10.70836364,305.2717654,-1061.01572
92823,4,19488,604284,8876,6.087791495,8380,5.747599451,135.6456442,-471.4002065
92831,29,1083411,2051025,540270,43.43704776,461245,37.08353433,982.464845,-3418.874717
